shift,Minute,Time_start_raw,Time_end_raw,time_start_adjusted,time_end_adjusted,Behavior
2,0,35.81,36.144,33.81,34.144,Rear
2,0,41.591,41.925,39.591,39.925,Rear
2,0,45.501,46.904,43.501,44.904,Rear
2,0,47.74,48.14,45.74,46.14,Rear
2,1,67.823,69.26,65.823,67.26,Rear
2,1,69.728,70.597,67.728,68.597,Rear
2,1,71.132,72.602,69.132,70.602,Rear
2,1,73.036,74.573,71.036,72.573,Rear
2,1,76.044,76.645,74.044,74.645,Rear
2,1,77.079,77.748,75.079,75.748,Rear
2,1,77.781,78.115,75.781,76.115,Jump
2,1,78.516,78.884,76.516,76.884,Jump
2,1,79.552,79.987,77.552,77.987,Jump
2,1,80.922,81.323,78.922,79.323,Rear
2,1,81.357,81.758,79.357,79.758,Jump
2,1,84.531,85.634,82.531,83.634,Rear
2,1,85.667,86.035,83.667,84.035,Jump
2,1,86.369,86.837,84.369,84.837,Jump
2,1,90.513,91.615,88.513,89.615,Rear
2,1,92.651,94.322,90.651,92.322,Rear
2,1,94.923,97.998,92.923,95.998,Rear
2,1,99.568,101.54,97.568,99.54,Rear
2,1,116.677,117.312,114.677,115.312,Rear
2,1,118.247,118.749,116.247,116.749,Rear
2,1,119.25,120.587,117.25,118.587,Rear
2,2,120.62,120.954,118.62,118.954,Jump
2,2,125.098,125.532,123.098,123.532,Jump
2,2,125.886,126.334,123.886,124.334,Jump
2,2,127.036,127.336,125.036,125.336,Rear
2,2,128.473,130.11,126.473,128.11,Rear
2,2,133.15,134.219,131.15,132.219,Rear
2,2,137.26,137.694,135.26,135.694,Jump
2,2,138.029,138.43,136.029,136.43,Jump
2,2,139.499,140,137.499,138,Jump
2,2,144.979,145.447,142.979,143.447,Jump
2,2,145.48,146.082,143.48,144.082,Rear
2,2,146.115,146.516,144.115,144.516,Jump
2,2,154.904,156.274,152.904,154.274,Rear
2,3,192.096,192.598,190.096,190.598,Rear
2,3,193.801,194.87,191.801,192.87,Rear
2,3,195.505,197.476,193.505,195.476,Rear
2,3,201.185,202.355,199.185,200.355,Rear
2,4,255.854,256.322,253.854,254.322,Jump
2,4,259.33,259.798,257.33,257.798,Jump
2,4,260.165,260.633,258.165,258.633,Jump
2,4,261.635,262.203,259.635,260.203,Rear
2,4,262.237,262.638,260.237,260.638,Jump
2,4,263.54,263.874,261.54,261.874,Rear
2,4,263.908,264.342,261.908,262.342,Jump
2,4,267.55,268.586,265.55,266.586,Rear
2,4,270.056,270.49,268.056,268.49,Jump
2,4,270.524,270.891,268.524,268.891,Rear
2,4,270.925,271.292,268.925,269.292,Jump
2,4,271.326,272.094,269.326,270.094,Rear
2,4,274.767,276.037,272.767,274.037,Rear
2,4,277.875,278.309,275.875,276.309,Jump
2,4,278.343,278.577,276.343,276.577,Rear
2,4,278.61,279.011,276.61,277.011,Jump
2,4,279.045,279.546,277.045,277.546,Rear
2,4,281.05,286.329,279.05,284.329,Rear
2,4,289.972,291.843,287.972,289.843,Rear
2,4,292.645,293.179,290.645,291.179,Rear
2,4,293.213,293.547,291.213,291.547,Jump
2,4,294.984,298.827,292.984,296.827,Rear
2,4,298.86,299.161,296.86,297.161,Jump
2,4,299.194,299.428,297.194,297.428,Rear
2,4,299.461,299.863,297.461,297.863,Jump
2,5,300.263,300.832,298.263,298.832,Rear
2,5,301.433,301.7,299.433,299.7,Rear
2,5,301.734,302.034,299.734,300.034,Jump
2,5,302.836,303.104,300.836,301.104,Rear
2,5,303.471,303.906,301.471,301.906,Rear
2,5,305.109,305.343,303.109,303.343,Rear
2,5,306.78,307.448,304.78,305.448,Rear
2,5,307.481,307.849,305.481,305.849,Jump
2,5,308.016,308.116,306.016,306.116,Rear
2,5,308.15,308.551,306.15,306.551,Jump
2,5,308.985,309.386,306.985,307.386,Jump
2,5,309.687,310.021,307.687,308.021,Rear
2,5,310.221,310.656,308.221,308.656,Jump
2,5,315.1,316.102,313.1,314.102,Rear
2,5,316.136,316.503,314.136,314.503,Jump
2,5,316.537,317.005,314.537,315.005,Rear
2,5,317.038,317.439,315.038,315.439,Jump
2,5,317.807,318.308,315.807,316.308,Jump
2,5,318.742,319.143,316.742,317.143,Jump
2,5,329.435,331.039,327.435,329.039,Rear
2,6,368.599,372.909,366.599,370.909,Rear
2,6,373.31,373.678,371.31,371.678,Rear
2,6,375.382,375.883,373.382,373.883,Jump
2,6,376.418,376.953,374.418,374.953,Rear
2,6,376.986,377.42,374.986,375.42,Jump
2,6,379.993,381.531,377.993,379.531,Rear
2,6,387.713,388.682,385.713,386.682,Rear
2,7,476.297,476.764,474.297,474.764,Jump
2,7,478.636,479.839,476.636,477.839,Rear
2,8,483.514,484.784,481.514,482.784,Rear
2,8,488.025,488.961,486.025,486.961,Rear
2,8,514.891,515.392,512.891,513.392,Jump
2,8,523.512,524.047,521.512,522.047,Rear
2,9,574.37,574.771,572.37,572.771,Jump
2,9,574.804,574.971,572.804,572.971,Rear
2,9,575.606,575.974,573.606,573.974,Jump
2,9,576.341,576.809,574.341,574.809,Jump
2,9,577.711,577.912,575.711,575.912,Rear
2,9,579.683,580.151,577.683,578.151,Jump
2,9,580.652,581.086,578.652,579.086,Jump
2,9,581.688,582.122,579.688,580.122,Jump
2,9,582.156,583.292,580.156,581.292,Rear
2,9,591.846,593.751,589.846,591.751,Rear
2,9,596.758,598.63,594.758,596.63,Rear
2,10,601.403,601.904,599.403,599.904,Rear
