shift,Minute,Time_start_raw,Time_end_raw,time_start_adjusted,time_end_adjusted,Behavior
63,1,110.984,111.318,47.984,48.318,Rear
63,1,112.387,112.654,49.387,49.654,Rear
63,1,114.626,115.027,51.626,52.027,Rear
63,1,116.998,117.633,53.998,54.633,Rear
63,1,119.003,119.672,56.003,56.672,Rear
63,2,120.307,121.376,57.307,58.376,Rear
63,2,123.748,124.851,60.748,61.851,Rear
63,2,125.687,126.255,62.687,63.255,Rear
63,2,127.558,127.792,64.558,64.792,Rear
63,2,128.594,129.095,65.594,66.095,Rear
63,2,129.696,129.93,66.696,66.93,Rear
63,2,130.966,132.035,67.966,69.035,Rear
63,2,138.618,139.42,75.618,76.42,Rear
63,2,140.924,141.492,77.924,78.492,Rear
63,2,141.492,141.96,78.492,78.96,Jump
63,2,144.399,144.934,81.399,81.934,Rear
63,2,146.204,146.805,83.204,83.805,Rear
63,2,147.434,147.841,84.434,84.841,Rear
63,2,148.108,148.376,85.108,85.376,Rear
63,2,148.576,149.011,85.576,86.011,Jump
63,2,150.681,151.016,87.681,88.016,Jump
63,2,153.722,154.424,90.722,91.424,Rear
63,2,154.758,155.159,91.758,92.159,Rear
63,2,155.593,156.696,92.593,93.696,Rear
63,2,157.465,158.3,94.465,95.3,Rear
63,2,179.686,180.722,116.686,117.722,Rear
63,3,181.357,182.694,118.357,119.694,Rear
63,3,183.195,183.93,120.195,120.93,Rear
63,3,184.999,186.236,121.999,123.236,Rear
63,3,186.804,187.405,123.804,124.405,Rear
63,3,188.04,188.374,125.04,125.374,Rear
63,3,188.942,191.114,125.942,128.114,Rear
63,3,191.682,191.916,128.682,128.916,Rear
63,3,194.118,194.19,131.118,131.19,Rear
63,3,195.859,196.494,132.859,133.494,Rear
63,3,197.831,198.466,134.831,135.466,Rear
63,3,210.93,211.264,147.93,148.264,Jump
63,3,211.832,213.536,148.832,150.536,Rear
63,3,214.305,214.706,151.305,151.706,Rear
63,3,219.116,219.451,156.116,156.451,Rear
63,3,220.62,222.425,157.62,159.425,Rear
63,3,224.496,224.73,161.496,161.73,Rear
63,3,224.73,225.131,161.73,162.131,Jump
63,3,225.399,226.535,162.399,163.535,Rear
63,3,234.321,234.688,171.321,171.688,Jump
63,3,235.506,235.957,172.506,172.957,Jump
63,3,236.092,236.459,173.092,173.459,Rear
63,3,236.493,236.793,173.493,173.793,Jump
63,3,237.094,237.462,174.094,174.462,Jump
63,3,238.163,238.665,175.163,175.665,Rear
63,3,238.698,239.032,175.698,176.032,Jump
63,3,239.767,240.502,176.767,177.502,Rear
63,4,243.109,244.044,180.109,181.044,Rear
63,4,246.016,246.317,183.016,183.317,Jump
