shift,Minute,Time_start_raw,Time_end_raw,time_start_adjusted,time_end_adjusted,Behavior
4,1,74.867,75.636,70.867,71.636,Rear
4,1,77.54,78.108,73.54,74.108,Rear
4,1,78.61,80.715,74.61,76.715,Rear
4,1,81.818,82.519,77.818,78.519,Rear
4,1,85.259,85.961,81.259,81.961,Rear
4,1,92.678,93.212,88.678,89.212,Rear
4,1,94.616,96.988,90.616,92.988,Rear
4,1,98.459,99.127,94.459,95.127,Rear
4,1,100.931,101.499,96.931,97.499,Rear
4,1,102.803,104.273,98.803,100.273,Rear
4,2,120.814,121.214,116.814,117.214,Rear
4,2,121.783,123.754,117.783,119.754,Rear
4,2,124.523,126.227,120.523,122.227,Rear
4,2,126.695,127.697,122.695,123.697,Rear
4,2,129.669,131.607,125.669,127.607,Rear
4,2,133.879,134.447,129.879,130.447,Rear
4,2,139.125,141.665,135.125,137.665,Rear
4,2,142.199,142.534,138.199,138.534,Rear
4,2,143.336,144.572,139.336,140.572,Rear
4,2,144.873,145.14,140.873,141.14,Rear
4,2,145.173,145.374,141.173,141.374,Jump
4,2,145.407,146.664,141.407,142.664,Rear
4,2,146.667,146.911,142.667,142.911,Jump
4,2,146.944,149.885,142.944,145.885,Rear
4,2,171.271,171.806,167.271,167.806,Rear
4,2,174.78,175.415,170.78,171.415,Rear
4,2,176.083,177.453,172.083,173.453,Rear
4,2,177.954,179.09,173.954,175.09,Rear
4,2,179.391,179.825,175.391,175.825,Rear
4,2,179.859,180.16,175.859,176.16,Jump
4,3,180.494,180.828,176.494,176.828,Rear
4,3,180.861,181.196,176.861,177.196,Jump
4,3,181.429,182.599,177.429,178.599,Rear
4,3,182.632,182.933,178.632,178.933,Jump
4,3,182.967,183.301,178.967,179.301,Rear
4,3,183.334,183.668,179.334,179.668,Jump
4,3,183.835,184.069,179.835,180.069,Rear
4,3,184.103,184.47,180.103,180.47,Jump
4,3,184.972,185.406,180.972,181.406,Rear
4,3,185.439,185.807,181.439,181.807,Jump
4,3,186.743,187.311,182.743,183.311,Rear
4,3,187.344,187.778,183.344,183.778,Jump
4,3,188.547,192.423,184.547,188.423,Rear
4,3,192.457,192.791,188.457,188.791,Jump
4,3,192.824,196.801,188.824,192.801,Rear
4,3,200.009,201.211,196.009,197.211,Rear
4,3,202.147,203.617,198.147,199.617,Rear
4,3,204.186,204.921,200.186,200.921,Rear
4,3,205.689,206.792,201.689,202.792,Rear
4,3,207.193,207.627,203.193,203.627,Rear
4,3,208.062,209.766,204.062,205.766,Rear
4,3,237.534,241.644,233.534,237.644,Rear
4,4,242.313,244.652,238.313,240.652,Rear
4,4,245.454,245.888,241.454,241.888,Rear
4,4,245.922,246.289,241.922,242.289,Jump
4,4,247.191,247.492,243.191,243.492,Rear
4,4,247.893,254.108,243.893,250.108,Rear
4,4,254.777,255.211,250.777,251.211,Rear
4,4,274.559,278.602,270.559,274.602,Rear
4,4,282.545,284.55,278.545,280.55,Rear
4,4,284.75,289.128,280.75,285.128,Rear
4,4,289.161,289.429,285.161,285.429,Jump
4,4,289.93,290.331,285.93,286.331,Jump
4,4,290.498,290.932,286.498,286.932,Rear
4,4,291.433,291.768,287.433,287.768,Rear
4,4,292.035,292.469,288.035,288.469,Jump
4,4,293.372,293.773,289.372,289.773,Jump
4,4,294.541,295.009,290.541,291.009,Rear
4,4,295.042,295.477,291.042,291.477,Jump
4,4,295.61,296.145,291.61,292.145,Rear
4,4,296.179,296.646,292.179,292.646,Jump
4,4,297.148,297.649,293.148,293.649,Jump
4,4,297.95,301.458,293.95,297.458,Rear
4,5,301.659,302.093,297.659,298.093,Jump
4,5,302.294,303.73,298.294,299.73,Rear
4,5,306.537,307.306,302.537,303.306,Rear
4,5,308.475,308.977,304.475,304.977,Rear
4,5,309.244,309.712,305.244,305.712,Jump
4,5,310.28,310.748,306.28,306.748,Jump
4,5,311.383,311.817,307.383,307.817,Jump
4,5,312.251,312.719,308.251,308.719,Jump
4,5,313.087,313.555,309.087,309.555,Jump
4,5,315.994,317.865,311.994,313.865,Rear
4,5,318.4,319.035,314.4,315.035,Rear
4,5,319.803,320.405,315.803,316.405,Rear
4,5,321.608,322.009,317.608,318.009,Jump
4,5,322.777,323.145,318.777,319.145,Jump
4,5,323.713,324.08,319.713,320.08,Jump
4,5,324.415,324.782,320.415,320.782,Jump
4,5,325.116,325.517,321.116,321.517,Jump
4,5,327.455,329.059,323.455,325.059,Rear
4,5,332.434,333.838,328.434,329.838,Rear
4,6,389.074,392.081,385.074,388.081,Rear
4,6,393.886,395.824,389.886,391.824,Rear
4,6,396.262,397.194,392.262,393.194,Rear
4,6,416.575,416.875,412.575,412.875,Rear
4,6,417.744,419.382,413.744,415.382,Rear
4,7,420.184,421.687,416.184,417.687,Rear
4,7,422.222,423.158,418.222,419.158,Rear
4,7,424.995,425.731,420.995,421.731,Rear
4,7,428.203,428.671,424.203,424.671,Jump
4,7,429.273,429.707,425.273,425.707,Jump
4,7,431.344,432.28,427.344,428.28,Rear
4,8,507.064,509.27,503.064,505.27,Rear
4,8,510.439,513.948,506.439,509.948,Rear
4,8,521.834,551.006,517.834,547.006,Rear
4,9,552.008,557.789,548.008,553.789,Rear
4,9,560.195,562.267,556.195,558.267,Rear
4,9,563.336,568.883,559.336,564.883,Rear
4,9,570.019,570.62,566.019,566.62,Rear
4,9,571.757,572.893,567.757,568.893,Rear
4,9,573.427,580.846,569.427,576.846,Rear
