shift,Minute,Time_start_raw,Time_end_raw,time_start_adjusted,time_end_adjusted,Behavior
3 seconds,1,74.579,75.013,71.579,72.013,Rear
3 seconds,1,76.684,77.586,73.684,74.586,Rear
3 seconds,1,78.154,78.656,75.154,75.656,Rear
3 seconds,1,79.057,79.658,76.057,76.658,Rear
3 seconds,1,79.658,80.059,76.658,77.059,Jump
3 seconds,1,80.193,80.493,77.193,77.493,Rear
3 seconds,1,80.493,80.961,77.493,77.961,Jump
3 seconds,1,82.699,83.133,79.699,80.133,Rear
3 seconds,1,83.668,84.37,80.668,81.37,Rear
3 seconds,1,84.37,84.771,81.37,81.771,Jump
3 seconds,1,85.239,86.04,82.239,83.04,Rear
3 seconds,1,87.277,88.012,84.277,85.012,Rear
3 seconds,1,88.413,88.814,85.413,85.814,Rear
3 seconds,1,88.814,89.215,85.814,86.215,Jump
3 seconds,1,89.85,90.217,86.85,87.217,Jump
3 seconds,1,90.518,90.919,87.518,87.919,Jump
3 seconds,2,175.293,176.797,172.293,173.797,Rear
3 seconds,2,177.332,177.566,174.332,174.566,Rear
3 seconds,2,177.566,178.034,174.566,175.034,Jump
3 seconds,2,179.504,179.738,176.504,176.738,Rear
3 seconds,3,183.046,183.614,180.046,180.614,Rear
3 seconds,3,185.519,185.886,182.519,182.886,Rear
3 seconds,3,185.886,186.321,182.886,183.321,Jump
3 seconds,3,186.488,187.189,183.488,184.189,Rear
3 seconds,3,187.256,187.624,184.256,184.624,Jump
3 seconds,3,187.824,188.259,184.824,185.259,Jump
3 seconds,3,188.459,188.86,185.459,185.86,Jump
3 seconds,3,189.061,189.161,186.061,186.161,Rear
3 seconds,3,189.161,189.595,186.161,186.595,Jump
3 seconds,3,189.929,190.397,186.929,187.397,Jump
3 seconds,3,190.832,191.299,187.832,188.299,Jump
3 seconds,3,236.21,237.446,233.21,234.446,Rear
3 seconds,3,239.986,240.186,236.986,237.186,Jump
3 seconds,4,240.788,241.156,237.788,238.156,Jump
3 seconds,4,241.49,241.958,238.49,238.958,Jump
3 seconds,4,242.158,242.259,239.158,239.259,Jump
3 seconds,4,242.96,243.394,239.96,240.394,Jump
3 seconds,4,243.695,244.129,240.695,241.129,Jump
3 seconds,5,311.194,314.102,308.194,311.102,Rear
3 seconds,5,316.808,319.348,313.808,316.348,Rear
3 seconds,5,320.417,320.852,317.417,317.852,Jump
3 seconds,5,321.085,321.52,318.085,318.52,Jump
3 seconds,5,322.121,322.589,319.121,319.589,Jump
3 seconds,5,322.79,322.99,319.79,319.99,Rear
3 seconds,5,322.99,323.458,319.99,320.458,Jump
3 seconds,5,323.826,326.8,320.826,323.8,Rear
3 seconds,5,327.702,328.17,324.702,325.17,Rear
3 seconds,5,328.203,328.604,325.203,325.604,Jump
3 seconds,5,329.139,329.64,326.139,326.64,Jump
3 seconds,5,329.907,330.342,326.907,327.342,Jump
3 seconds,5,330.709,331.144,327.709,328.144,Jump
3 seconds,5,331.611,332.079,328.611,329.079,Jump
3 seconds,6,375.118,375.352,372.118,372.352,Rear
3 seconds,6,375.352,375.854,372.352,372.854,Jump
3 seconds,6,376.054,376.288,373.054,373.288,Rear
3 seconds,6,376.321,376.756,373.321,373.756,Jump
3 seconds,6,377.357,377.825,374.357,374.825,Jump
3 seconds,6,378.059,378.493,375.059,375.493,Jump
3 seconds,6,378.761,379.262,375.761,376.262,Jump
3 seconds,6,414.95,416.721,411.95,413.721,Rear
3 seconds,6,418.057,419.394,415.057,416.394,Rear
3 seconds,7,420.129,421.132,417.129,418.132,Rear
3 seconds,7,422.903,424.306,419.903,421.306,Rear
3 seconds,7,424.707,426.913,421.707,423.913,Rear
3 seconds,7,427.982,429.085,424.982,426.085,Rear
3 seconds,7,430.622,431.056,427.622,428.056,Jump
3 seconds,7,431.29,431.758,428.29,428.758,Jump
3 seconds,7,432.125,432.627,429.125,429.627,Jump
3 seconds,7,432.927,433.395,429.927,430.395,Jump
3 seconds,7,433.763,434.231,430.763,431.231,Jump
3 seconds,7,454.614,456.786,451.614,453.786,Rear
3 seconds,7,460.328,460.729,457.328,457.729,Jump
3 seconds,7,461.097,461.564,458.097,458.564,Jump
3 seconds,7,461.865,462.266,458.865,459.266,Jump
3 seconds,7,462.6,463.035,459.6,460.035,Jump
3 seconds,7,463.436,463.77,460.436,460.77,Jump
3 seconds,7,465.942,466.376,462.942,463.376,Rear
3 seconds,7,466.911,467.345,463.911,464.345,Jump
3 seconds,7,467.746,468.181,464.746,465.181,Jump
3 seconds,7,470.821,471.322,467.821,468.322,Jump
3 seconds,7,471.455,471.89,468.455,468.89,Jump
3 seconds,7,472.157,472.625,469.157,469.625,Jump
3 seconds,7,473.093,473.527,470.093,470.527,Jump
