,sub_file_name,total_frames,num_entrances,first_frame_with_nose,first_frame_with_head,first_frame_with_body,first_frame_in_center,frames_with_nose,frames_with_head,frames_with_body,frames_within_50mm,fraction_frames_within_50mm,fraction_LIGHT_frames_within_50mm,fraction_LIGHT_frames_in_center,num_jumps,sum_dist,sum_dist_without_jumps,num_frames_jumping,num_rears,num_frames_rearing
0,/home/dennislab2/Desktop/videos/VID_20230423_104901DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,2,17407,17511,17692,,521,292,257,521,0.0290137550815838,1,0,1,0,0,0,7,108
0,/home/dennislab2/Desktop/videos/VID_20230423_112226DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,0,0,,,,0,0,0,0,0,,,1,0,0,0,1,0
0,/home/dennislab2/Desktop/videos/VID_20230423_114421DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,37,601,708,716,713,6814,5113,5002,6132,0.341482430250042,0.899911945993543,0.100088054006457,43,34186.5596537712,33556.2182884056,395,124,3215
0,/home/dennislab2/Desktop/videos/VID_20230423_121026DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,38,2847,2990,3201,3012,9624,8435,7549,8096,0.450854819847413,0.84123025768911,0.158769742310889,76,36629.1850192765,36046.8399682053,695,190,4542
0,/home/dennislab2/Desktop/videos/VID_20230423_123300DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,2,16866,17053,17253,,1080,459,421,1080,0.0601436765606727,1,0,1,0,0,0,16,343
0,/home/dennislab2/Desktop/videos/VID_20230423_125428DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,0,0,,,,0,0,0,0,0,,,1,0,0,0,1,0
0,/home/dennislab2/Desktop/videos/VID_20230425_092003DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,28,5515,7895,7905,7898,4618,3538,3346,3893,0.216795678565462,0.843005630142919,0.156994369857081,31,20280.5911491667,19875.1502330068,349,69,1952
0,/home/dennislab2/Desktop/videos/VID_20230425_094342DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,51,77,81,86,83,13616,12113,11395,9178,0.511109873586902,0.674059929494712,0.325940070505288,101,42520.4857052093,42185.7111274472,943,197,6268
0,/home/dennislab2/Desktop/videos/VID_20230425_100656DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,28,3410,4543,4543,5245,9338,7241,6598,7089,0.394776410313527,0.759156136217605,0.240843863782394,23,35981.8012994241,34965.8780347263,254,128,2437
0,/home/dennislab2/Desktop/videos/VID_20230425_103511DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,24,7820,10240,10322,10284,4503,4015,3835,3310,0.18432923094058,0.735065511880968,0.264934488119032,23,16473.970582657,16359.2644146975,180,71,1895
0,/home/dennislab2/Desktop/videos/VID_20230425_105655DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,0,0,,,,0,0,0,0,0,,,1,0,0,0,1,0
0,/home/dennislab2/Desktop/videos/VID_20230425_112019DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,52,492,582,596,585,11455,10186,9695,8577,0.477641031352676,0.748756001745962,0.251243998254038,104,50834.8597007717,50550.6834147512,1132,156,3978
0,/home/dennislab2/Desktop/videos/VID_20230425_114545DLC_resnet50_2022_Knowles_AlexOct13shuffle1_250000.csv,17957,0,0,,,,0,0,0,0,0,,,1,0,0,0,1,0
